               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11682,            0.028686,            0.061671,                   0,                   0,                   0,                   0,             0.11496,             0.01924,            0.058006,            0.070667,           0.0032593,           0.0032593
                   1,             0.11477,            0.027831,            0.061175,                   0,                   0,                   0,                   0,             0.11406,            0.019202,            0.058063,            0.040607,           0.0065333,           0.0065333
                   2,             0.11263,            0.027862,            0.060003,          2.4324e-05,           0.0054348,          1.5332e-05,          3.0664e-06,             0.12048,            0.047656,             0.10115,            0.010488,           0.0097473,           0.0097473
                   3,             0.10928,             0.02798,            0.059515,                   0,                   0,                   0,                   0,                 nan,                 nan,              1.3249,             0.00973,             0.00973,             0.00973
                   4,             0.10615,            0.027589,            0.058768,          5.1885e-05,            0.004516,          6.1278e-05,          3.0174e-05,                 nan,                 nan,             0.70785,             0.00973,             0.00973,             0.00973
                   5,             0.10366,            0.028278,            0.058137,                   0,                   0,                   0,                   0,                 nan,                 nan,             0.21738,             0.00964,             0.00964,             0.00964
                   6,             0.10178,            0.027791,            0.057642,                   0,                   0,                   0,                   0,             0.10695,            0.017614,            0.078128,             0.00955,             0.00955,             0.00955
                   7,             0.10078,            0.026148,            0.057043,                   0,                   0,                   0,                   0,                 nan,                 nan,            0.058729,             0.00946,             0.00946,             0.00946
                   8,             0.09913,            0.027062,             0.05616,           0.0016967,           0.0077334,           0.0011796,          0.00040981,            0.097945,            0.018328,            0.055925,             0.00937,             0.00937,             0.00937
                   9,            0.098436,            0.026047,            0.055373,           0.0021558,            0.021051,            0.002872,          0.00097816,             0.09801,            0.018139,            0.055079,             0.00928,             0.00928,             0.00928
                  10,            0.096434,            0.026238,            0.054069,           0.0019339,             0.10652,           0.0052486,           0.0016981,             0.09241,             0.01766,            0.052964,             0.00919,             0.00919,             0.00919
                  11,            0.093653,            0.026337,             0.05289,           0.0021758,             0.11422,           0.0052318,           0.0014368,            0.093403,            0.017795,            0.052053,              0.0091,              0.0091,              0.0091
                  12,            0.092292,            0.026716,            0.052703,             0.65454,            0.017697,           0.0070201,           0.0025017,             0.09302,            0.017517,            0.052116,             0.00901,             0.00901,             0.00901
                  13,            0.089427,            0.026828,            0.051331,             0.80767,            0.011394,           0.0036904,           0.0014351,            0.096424,            0.022555,            0.058619,             0.00892,             0.00892,             0.00892
                  14,            0.087094,            0.025044,            0.050741,           0.0029174,             0.19268,           0.0058381,           0.0020894,            0.088601,            0.017576,            0.052077,             0.00883,             0.00883,             0.00883
                  15,            0.087137,            0.026011,            0.050017,           0.0037788,             0.28487,            0.017827,            0.009324,            0.081348,            0.017964,            0.050113,             0.00874,             0.00874,             0.00874
                  16,            0.085229,            0.025515,             0.05018,             0.65452,            0.018785,            0.010318,           0.0036715,            0.089899,            0.017362,            0.050541,             0.00865,             0.00865,             0.00865
                  17,            0.082984,            0.025368,             0.04993,           0.0044601,             0.23365,            0.015596,            0.007028,            0.082164,            0.020598,            0.049101,             0.00856,             0.00856,             0.00856
                  18,            0.081978,            0.025496,            0.049663,            0.004511,             0.22221,            0.014153,           0.0071989,             0.08362,            0.020051,            0.049947,             0.00847,             0.00847,             0.00847
                  19,            0.080214,            0.026174,             0.04929,             0.31094,             0.13073,            0.014083,           0.0077295,             0.07723,            0.018422,            0.049307,             0.00838,             0.00838,             0.00838
                  20,            0.080197,            0.026198,             0.04894,             0.76528,             0.02516,            0.018814,           0.0098246,            0.078859,            0.020721,            0.048739,             0.00829,             0.00829,             0.00829
                  21,            0.078886,            0.024148,            0.048852,           0.0035225,             0.28239,            0.010864,            0.005312,            0.079815,            0.018327,            0.048402,              0.0082,              0.0082,              0.0082
                  22,            0.078079,            0.027153,            0.048958,              0.6351,            0.041335,            0.012292,           0.0061398,            0.077295,            0.018666,            0.048555,             0.00811,             0.00811,             0.00811
                  23,            0.076457,            0.024666,             0.04836,             0.51008,            0.082001,             0.01851,           0.0090178,            0.074953,            0.017728,            0.048871,             0.00802,             0.00802,             0.00802
                  24,            0.075181,            0.024836,            0.048703,            0.004182,             0.35108,             0.01459,           0.0080489,            0.071399,             0.01849,            0.048268,             0.00793,             0.00793,             0.00793
                  25,            0.075388,            0.025963,            0.048429,               0.533,            0.086036,            0.012832,           0.0070308,            0.069024,            0.019102,            0.048141,             0.00784,             0.00784,             0.00784
                  26,            0.073788,             0.02618,            0.048605,             0.46342,            0.078969,            0.014342,           0.0079157,            0.072606,            0.019288,            0.048198,             0.00775,             0.00775,             0.00775
                  27,            0.072904,            0.024436,            0.048584,             0.53037,            0.072923,            0.019829,            0.010977,            0.068947,            0.018226,            0.048196,             0.00766,             0.00766,             0.00766
                  28,            0.072899,            0.026266,            0.048063,             0.46817,            0.093291,            0.020583,             0.01213,            0.071109,            0.018305,            0.048079,             0.00757,             0.00757,             0.00757
                  29,            0.071183,            0.025509,            0.048011,             0.55411,            0.055244,            0.016613,           0.0096025,              0.0682,            0.018546,            0.047874,             0.00748,             0.00748,             0.00748
                  30,            0.071426,            0.025348,            0.048116,             0.57115,            0.056681,            0.009503,           0.0051206,            0.077983,            0.018824,            0.048922,             0.00739,             0.00739,             0.00739
                  31,            0.069953,             0.02535,            0.048115,             0.68798,             0.04653,            0.038895,            0.024803,            0.067622,            0.018214,            0.047951,              0.0073,              0.0073,              0.0073
                  32,            0.068733,            0.025076,            0.048009,             0.46573,              0.1101,            0.024276,             0.01568,            0.068288,            0.018389,            0.048186,             0.00721,             0.00721,             0.00721
                  33,            0.070128,            0.024863,            0.047833,              0.5118,            0.063733,            0.019212,           0.0095206,            0.069762,            0.018022,             0.04767,             0.00712,             0.00712,             0.00712
                  34,            0.068467,            0.024341,            0.047971,             0.50903,            0.078691,            0.026408,            0.017379,            0.069614,            0.018674,            0.048062,             0.00703,             0.00703,             0.00703
                  35,            0.068857,            0.025367,            0.047427,             0.55512,            0.053021,            0.024635,            0.017768,            0.068516,            0.018169,            0.048021,             0.00694,             0.00694,             0.00694
                  36,            0.067534,            0.025665,            0.047647,             0.62247,             0.05173,            0.020276,            0.012904,            0.064951,            0.019447,            0.047648,             0.00685,             0.00685,             0.00685
                  37,            0.067525,              0.0241,             0.04765,             0.66421,            0.047831,            0.036683,             0.02488,                 nan,                 nan,            0.048213,             0.00676,             0.00676,             0.00676
                  38,            0.068901,            0.024459,            0.047968,             0.66334,            0.041478,            0.022471,            0.015419,            0.065185,            0.019707,             0.04785,             0.00667,             0.00667,             0.00667
                  39,            0.067365,            0.024379,            0.047568,             0.66137,            0.054388,            0.036878,            0.028236,            0.063767,            0.020493,            0.047496,             0.00658,             0.00658,             0.00658
                  40,            0.066459,            0.024753,            0.047528,             0.51056,            0.071555,            0.025561,            0.015846,            0.067417,            0.019416,            0.047642,             0.00649,             0.00649,             0.00649
                  41,            0.064754,            0.025437,            0.047884,             0.66553,            0.050632,            0.025382,            0.015768,            0.063921,            0.018691,            0.047462,              0.0064,              0.0064,              0.0064
                  42,            0.064612,            0.025794,            0.047523,             0.59733,            0.059719,            0.030973,             0.02207,            0.062423,            0.019443,            0.047521,             0.00631,             0.00631,             0.00631
                  43,            0.064699,            0.023862,            0.047899,             0.51198,             0.07181,            0.021106,            0.013265,            0.066976,            0.018203,            0.049499,             0.00622,             0.00622,             0.00622
                  44,            0.064919,            0.025173,            0.047444,              0.7076,              0.0371,            0.036464,            0.027396,            0.064833,            0.019169,            0.047736,             0.00613,             0.00613,             0.00613
