               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.1146,0.039407,0.10231,0,0,0,0,0.11374,0.027493,0.096606,0.070667,0.0032593,0.0032593
1,0.11246,0.039043,0.10118,0,0,0,0,0.11188,0.027071,0.096673,0.040601,0.0065273,0.0065273
2,0.10796,0.039206,0.099077,9.62E-05,0.0015528,6.31E-05,1.89E-05,                 nan,                 nan,0.53278,0.01047,0.0097294,0.0097294
3,0.10422,0.040022,0.09723,0,0,0,0,                 nan,                 nan,24.057,0.009703,0.009703,0.009703
4,0.10109,0.037982,0.095658,0.00084364,0.013751,0.00058019,0.00013778,                 nan,                 nan,0.16598,0.009703,0.009703,0.009703
5,0.099065,0.037936,0.093069,0.0014742,0.067969,0.001749,0.00049488,0.1027,0.023802,0.097197,0.009604,0.009604,0.009604
6,0.096502,0.033916,0.089896,0.00078732,0.050427,0.0015782,0.00036493,0.10317,0.024961,0.092326,0.009505,0.009505,0.009505
7,0.094276,0.037038,0.087569,0.0016013,0.051482,0.0031503,0.0013239,0.10429,0.025447,0.08416,0.009406,0.009406,0.009406
8,0.0899,0.03681,0.085518,0.0041269,0.17937,0.0083949,0.0040775,0.090838,0.025048,0.083519,0.009307,0.009307,0.009307
9,0.088096,0.037165,0.083437,0.15419,0.056803,0.0062456,0.0012903,0.090601,0.026353,0.083057,0.009208,0.009208,0.009208
10,0.085359,0.035829,0.082152,0.0025929,0.16297,0.0095929,0.0029226,0.090787,0.02609,0.08215,0.009109,0.009109,0.009109
11,0.086319,0.036661,0.081872,0.0033455,0.18708,0.01468,0.0084854,0.085005,0.025435,0.080923,0.00901,0.00901,0.00901
12,0.082831,0.034529,0.080235,0.63912,0.034159,0.010221,0.0031882,0.086284,0.024708,0.080124,0.008911,0.008911,0.008911
13,0.082827,0.036685,0.08031,0.0031518,0.23519,0.011728,0.0053916,0.080681,0.025826,0.079855,0.008812,0.008812,0.008812
14,0.080303,0.035592,0.079433,0.53182,0.065547,0.015905,0.0075938,0.080764,0.025085,0.079574,0.008713,0.008713,0.008713
15,0.079901,0.035847,0.078908,0.003269,0.26893,0.011911,0.0056436,0.085795,0.024744,0.079047,0.008614,0.008614,0.008614
16,0.077656,0.037769,0.078132,0.0036286,0.26603,0.01326,0.0067397,0.076685,0.025591,0.07874,0.008515,0.008515,0.008515
17,0.078694,0.036583,0.077881,0.33176,0.12113,0.0096671,0.0044329,0.079867,0.027249,0.079106,0.008416,0.008416,0.008416
18,0.076664,0.03509,0.07722,0.41894,0.093928,0.014243,0.0086807,0.075418,0.026246,0.078667,0.008317,0.008317,0.008317
19,0.075805,0.034152,0.077865,0.53034,0.064499,0.016711,0.0084761,0.074764,0.025944,0.078619,0.008218,0.008218,0.008218
